Tri   ,Année   ,Périmètre juridique ,Legal perimeter ,Périmètre spatial             ,country                  ,Filière        ,Sector                   ,Type d'énergie ,Type of energy ,Production            ,Unité ,Méthode de consolidation ,Consolidation method ,city             ,lat      ,lng     ,population ,alpha-2 ,alpha-3 ,country-code ,iso_3166-2    ,region   ,sub-region                      ,intermediate-region ,region-code ,sub-region-code ,intermediate-region-code
344.0 ,20190.0 ,Groupe EDF          ,EDF group       ,Belgique                      ,Belgium                  ,Éolienne       ,Wind                     ,Électrique     ,Electric       ,   408.410352         ,GWh   ,Nette                    ,Net                  ,Brussels         ,50.8333  ,4.3333  , 1743000.0 ,BE      ,BEL     ,        56.0 ,ISO 3166-2:BE ,Europe   ,Western Europe                  ,                    ,        150 ,            155 ,                      
359.0 ,20190.0 ,Groupe EDF          ,EDF group       ,Belgique                      ,Belgium                  ,Solaire        ,Solar                    ,Électrique     ,Electric       ,     1.081684293      ,GWh   ,Nette                    ,Net                  ,Brussels         ,50.8333  ,4.3333  , 1743000.0 ,BE      ,BEL     ,        56.0 ,ISO 3166-2:BE ,Europe   ,Western Europe                  ,                    ,        150 ,            155 ,                      
386.0 ,20190.0 ,Groupe EDF          ,EDF group       ,Belgique                      ,Belgium                  ,Gaz            ,Gas                      ,Chaleur        ,Heat           ,    44.576756627      ,GWh   ,Nette                    ,Net                  ,Brussels         ,50.8333  ,4.3333  , 1743000.0 ,BE      ,BEL     ,        56.0 ,ISO 3166-2:BE ,Europe   ,Western Europe                  ,                    ,        150 ,            155 ,                      
 10.0 ,20220.0 ,Groupe EDF          ,EDF group       ,Brésil                        ,Brazil                   ,Gaz            ,Gas                      ,Électrique     ,Electric       ,  1480.3529191        ,GWh   ,Nette                    ,Net                  ,São Paulo        ,-23.5587 ,-46.625 ,18845000.0 ,BR      ,BRA     ,        76.0 ,ISO 3166-2:BR ,Americas ,Latin America and the Caribbean ,South America       ,        019 ,            419 ,                     5.0
 11.0 ,20220.0 ,Groupe EDF          ,EDF group       ,Brésil                        ,Brazil                   ,Hydraulique    ,Hydraulic                ,Électrique     ,Electric       ,   829.0978557        ,GWh   ,Nette                    ,Net                  ,São Paulo        ,-23.5587 ,-46.625 ,18845000.0 ,BR      ,BRA     ,        76.0 ,ISO 3166-2:BR ,Americas ,Latin America and the Caribbean ,South America       ,        019 ,            419 ,                     5.0
 12.0 ,20220.0 ,Groupe EDF          ,EDF group       ,Brésil                        ,Brazil                   ,Éolienne       ,Wind                     ,Électrique     ,Electric       ,  2520.9764           ,GWh   ,Nette                    ,Net                  ,São Paulo        ,-23.5587 ,-46.625 ,18845000.0 ,BR      ,BRA     ,        76.0 ,ISO 3166-2:BR ,Americas ,Latin America and the Caribbean ,South America       ,        019 ,            419 ,                     5.0
 13.0 ,20220.0 ,Groupe EDF          ,EDF group       ,Brésil                        ,Brazil                   ,Solaire        ,Solar                    ,Électrique     ,Electric       ,   399.770999999999   ,GWh   ,Nette                    ,Net                  ,São Paulo        ,-23.5587 ,-46.625 ,18845000.0 ,BR      ,BRA     ,        76.0 ,ISO 3166-2:BR ,Americas ,Latin America and the Caribbean ,South America       ,        019 ,            419 ,                     5.0
106.0 ,20210.0 ,Groupe EDF          ,EDF group       ,Brésil                        ,Brazil                   ,Gaz            ,Gas                      ,Électrique     ,Electric       ,  7134.569485         ,GWh   ,Nette                    ,Net                  ,São Paulo        ,-23.5587 ,-46.625 ,18845000.0 ,BR      ,BRA     ,        76.0 ,ISO 3166-2:BR ,Americas ,Latin America and the Caribbean ,South America       ,        019 ,            419 ,                     5.0
107.0 ,20210.0 ,Groupe EDF          ,EDF group       ,Brésil                        ,Brazil                   ,Hydraulique    ,Hydraulic                ,Électrique     ,Electric       ,   711.3072           ,GWh   ,Nette                    ,Net                  ,São Paulo        ,-23.5587 ,-46.625 ,18845000.0 ,BR      ,BRA     ,        76.0 ,ISO 3166-2:BR ,Americas ,Latin America and the Caribbean ,South America       ,        019 ,            419 ,                     5.0
108.0 ,20210.0 ,Groupe EDF          ,EDF group       ,Brésil                        ,Brazil                   ,Éolienne       ,Wind                     ,Électrique     ,Electric       ,  1705.101015         ,GWh   ,Nette                    ,Net                  ,São Paulo        ,-23.5587 ,-46.625 ,18845000.0 ,BR      ,BRA     ,        76.0 ,ISO 3166-2:BR ,Americas ,Latin America and the Caribbean ,South America       ,        019 ,            419 ,                     5.0
