Tri,Année,Périmètre juridique,Legal perimeter,Périmètre spatial,country,Filière,Sector,Type d'énergie,Type of energy,Production,Unité ,Méthode de consolidation,Consolidation method,city,lat,lng,population
110.0,20210.0,Groupe EDF,EDF group,Canada,Canada,Éolienne,Wind,Électrique,Electric,2037.8922,GWh,Nette,Net,Toronto,43.7,-79.42,5213000.0
111.0,20210.0,Groupe EDF,EDF group,Canada,Canada,Solaire,Solar,Électrique,Electric,47.879,GWh,Nette,Net,Toronto,43.7,-79.42,5213000.0
247.0,20200.0,Groupe EDF,EDF group,Canada,Canada,Éolienne,Wind,Électrique,Electric,2104.438,GWh,Nette,Net,Toronto,43.7,-79.42,5213000.0
261.0,20200.0,Groupe EDF,EDF group,Canada,Canada,Solaire,Solar,Électrique,Electric,46.024,GWh,Nette,Net,Toronto,43.7,-79.42,5213000.0
346.0,20190.0,Groupe EDF,EDF group,Canada,Canada,Éolienne,Wind,Électrique,Electric,1932.182,GWh,Nette,Net,Toronto,43.7,-79.42,5213000.0
361.0,20190.0,Groupe EDF,EDF group,Canada,Canada,Solaire,Solar,Électrique,Electric,58.3817539074,GWh,Nette,Net,Toronto,43.7,-79.42,5213000.0
16.0,20220.0,Groupe EDF,EDF group,République populaire de Chine,People's Republic of China,Nucléaire,Nuclear,Électrique,Electric,3723.3,GWh,Nette,Net,,,,
17.0,20220.0,Groupe EDF,EDF group,République populaire de Chine,People's Republic of China,Charbon,Coal,Électrique,Electric,8274.8603,GWh,Nette,Net,,,,
18.0,20220.0,Groupe EDF,EDF group,République populaire de Chine,People's Republic of China,Éolienne,Wind,Électrique,Electric,995.5147601,GWh,Nette,Net,,,,
19.0,20220.0,Groupe EDF,EDF group,République populaire de Chine,People's Republic of China,Solaire,Solar,Électrique,Electric,122.21948,GWh,Nette,Net,,,,
20.0,20220.0,Groupe EDF,EDF group,République populaire de Chine,People's Republic of China,Biomasse,Biomass,Électrique,Electric,5.25,GWh,Nette,Net,,,,
112.0,20210.0,Groupe EDF,EDF group,République populaire de Chine,People's Republic of China,Nucléaire,Nuclear,Électrique,Electric,5546.1,GWh,Nette,Net,,,,
113.0,20210.0,Groupe EDF,EDF group,République populaire de Chine,People's Republic of China,Charbon,Coal,Électrique,Electric,9303.182,GWh,Nette,Net,,,,
114.0,20210.0,Groupe EDF,EDF group,République populaire de Chine,People's Republic of China,Éolienne,Wind,Électrique,Electric,727.422721599999,GWh,Nette,Net,,,,
115.0,20210.0,Groupe EDF,EDF group,République populaire de Chine,People's Republic of China,Solaire,Solar,Électrique,Electric,107.96545,GWh,Nette,Net,,,,
116.0,20210.0,Groupe EDF,EDF group,République populaire de Chine,People's Republic of China,Biomasse,Biomass,Électrique,Electric,103.35,GWh,Nette,Net,,,,
216.0,20200.0,Groupe EDF,EDF group,République populaire de Chine,People's Republic of China,Nucléaire,Nuclear,Électrique,Electric,6471.0,GWh,Nette,Net,,,,
