Tri ;Année ;Périmètre juridique ;Legal perimeter ;Périmètre spatial             ;country                    ;Filière        ;Sector                   ;Type d'énergie ;Type of energy ;Production            ;Unité ;Méthode de consolidation ;Consolidation method
 52 ; 2022 ;Groupe EDF          ;EDF group       ;Italie                        ;Italy                      ;Autres ENR     ;Other Renewable Energies ;Chaleur        ;Heat           ;    62.985594         ;GWh   ;Nette                    ;Net
 53 ; 2022 ;Groupe EDF          ;EDF group       ;Mexique                       ;Mexico                     ;Éolienne       ;Wind                     ;Électrique     ;Electric       ;   439.177484854999   ;GWh   ;Nette                    ;Net
 54 ; 2022 ;Groupe EDF          ;EDF group       ;Mexique                       ;Mexico                     ;Solaire        ;Solar                    ;Électrique     ;Electric       ;   248.086219909999   ;GWh   ;Nette                    ;Net
 55 ; 2022 ;Groupe EDF          ;EDF group       ;Pologne                       ;Poland                     ;Charbon        ;Coal                     ;Électrique     ;Electric       ;    13.759272         ;GWh   ;Nette                    ;Net
 56 ; 2022 ;Groupe EDF          ;EDF group       ;Pologne                       ;Poland                     ;Éolienne       ;Wind                     ;Électrique     ;Electric       ;   189.989327         ;GWh   ;Nette                    ;Net
 57 ; 2022 ;Groupe EDF          ;EDF group       ;Pologne                       ;Poland                     ;Divers         ;Various                  ;Électrique     ;Electric       ;    82.4385072        ;GWh   ;Nette                    ;Net
 58 ; 2022 ;Groupe EDF          ;EDF group       ;Pologne                       ;Poland                     ;Charbon        ;Coal                     ;Chaleur        ;Heat           ;   786.04784812       ;GWh   ;Nette                    ;Net
 59 ; 2022 ;Groupe EDF          ;EDF group       ;Pologne                       ;Poland                     ;Gaz            ;Gas                      ;Chaleur        ;Heat           ;    66.600318         ;GWh   ;Nette                    ;Net
 60 ; 2022 ;Groupe EDF          ;EDF group       ;Pologne                       ;Poland                     ;Divers         ;Various                  ;Chaleur        ;Heat           ;   105.04133736       ;GWh   ;Nette                    ;Net
 61 ; 2022 ;Groupe EDF          ;EDF group       ;Suisse                        ;Switzerland                ;Hydraulique    ;Hydraulic                ;Électrique     ;Electric       ;   160.0914618        ;GWh   ;Nette                    ;Net
